"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Anderson University","1100 E 5th St, Anderson, Indiana 46012-3495","www.anderson.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2516","2034","57%","NA","Fall 2007","$22,607","-","150066","00178500"
"Andrews University","4150 Administration Drive, Room 136, Berrien Springs, Michigan 49104","www.andrews.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Town: Fringe","Yes","3551","1917","60%","20%","Fall 2007","$21,267","-","168740","00223800"
"Angelo State University","2601 W. Avenue N, San Angelo, Texas 76909","www.angelo.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","6888","5918","30%","NA","Fall 2007","$12,732","-","222831","00354100"
"Anna Maria College","50 Sunset Lane, Paxton, Massachusetts 01612-1198","www.annamaria.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Rural: Fringe","Yes","1455","1037","47%","NA","Fall 2007","$24,915","-","164492","00211700"
"Anthem College-Phoenix","1515 E Indian School Road, Phoenix, Arizona 85014","www.anthem.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1856","1856","80%","NA","Fall 2007","$28,089","-","104805","02263100"
"Antioch College","1 Morgan Pl, Yellow Springs, Ohio 45387","antiochcollege.org","4-year, Private not-for-profit","Bachelor's degree","","Yes","","","NA","NA","Fall 2007","$7,454","-","483018",""
"Antioch University-Los Angeles","400 Corporate Pointe, Culver City, California 90230-7615","www.antiochla.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","No","861","202","NA","NA","Fall 2007","NA","-","245838","00301002"
"Antioch University-Midwest","900 Dayton St, Yellow Springs, Ohio 45387","midwest.antioch.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Fringe","No","364","116","NA","NA","Fall 2007","NA","-","245892","00301000"
"Antioch University-Santa Barbara","602 Anacapa Street, Santa Barbara, California 93101","www.antiochsb.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","City: Small","No","382","148","NA","NA","Fall 2007","NA","-","245847","00301003"
"Antioch University-Seattle","2326 6th Ave, Seattle, Washington 98121-1814","www.antiochseattle.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","No","887","229","NA","NA","Fall 2007","$26,442","-","245883","00301005"
"Apex School of Theology","1701 T.W. Alexander Drive, Durham, North Carolina 27703","www.apexsot.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","873","728","80%","NA","Fall 2007","$9,230","-","441511","03513400"
"Appalachian Bible College","161 College Drive, Mount Hope, West Virginia 25880","www.abc.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Rural: Fringe","Yes","302","286","62%","NA","Fall 2007","$15,148","-","237136","00754400"
