"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Beulah Heights University","892 Berne St SE, Atlanta, Georgia 30316","www.beulah.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","833","616","64%","NA","Fall 2007","$9,698","-","139153","03076300"
"Biola University","13800 Biola Ave, La Mirada, California 90639-0001","www.biola.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Suburb: Large","Yes","6303","4338","68%","NA","Fall 2007","$31,582","-","110097","00112200"
"Birmingham Southern College","900 Arkadelphia Road, Birmingham, Alabama 35254","www.bsc.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","1231","1231","62%","NA","Fall 2007","$23,522","-","100937","00101200"
"Birthingway College of Midwifery","12113 SE Foster Rd, Portland, Oregon 97266","www.birthingway.edu","4-year, Private not-for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","91","91","NA","NA","Fall 2007","NA","-","442949","03668300"
"Bismarck State College","1603 Edwards Ave., Bismarck, North Dakota 58506-5587","www.bismarckstate.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Small","Yes","4109","4109","41%","NA","Fall 2007","$7,365","-","200022","00298800"
"Black Hills State University","1200 University St, Spearfish, South Dakota 57799-9500","www.bhsu.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","4405","3972","33%","38%","Fall 2007","$12,085","-","219046","00345900"
"Blackburn College","700 College Ave, Carlinville, Illinois 62626","www.blackburn.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","546","546","45%","NA","Fall 2007","$13,366","-","143288","00163900"
"Blessing Rieman College of Nursing","Broadway at 11th Street, Quincy, Illinois 62305-7005","www.brcn.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Remote","Yes","275","258","55%","45%","Fall 2007","NA","-","143297","00621403"
"Bloomfield College","467 Franklin St, Bloomfield, New Jersey 07003","www.bloomfield.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree","Suburb: Large","Yes","2044","2036","36%","NA","Fall 2007","$20,441","-","183822","00259700"
"Bloomsburg University of Pennsylvania","400 E Second St, Bloomsburg, Pennsylvania 17815","www.bloomu.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","Yes","9950","9201","62%","NA","Fall 2007","$16,343","-","211158","00331500"
"Blue Mountain College","201 W Main St, Blue Mountain, Mississippi 38610-9509","www.bmc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Distant","Yes","513","502","51%","NA","Fall 2007","$9,005","-","175430","00239800"
"Bluefield College","3000 College Dr, Bluefield, Virginia 24605","www.bluefield.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Remote","Yes","831","831","45%","NA","Fall 2007","$19,582","-","231554","00370300"
"Bluefield State College","219 Rock St, Bluefield, West Virginia 24701","www.bluefieldstate.edu","4-year, Public","Associate's degree|Bachelor's degree","Town: Remote","No","1935","1935","24%","17%","Fall 2007","$11,227","-","237215","00380900"
"Bluffton University","1 University Drive, Bluffton, Ohio 45817-2104","www.bluffton.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","1198","1077","60%","25%","Fall 2007","$21,804","-","201371","00301600"
"Bob Jones University","1700 Wade Hampton Boulavard, Greenville, South Carolina 29614-0001","www.bju.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Small","Yes","3469","2976","61%","9%","Fall 2007","$16,448","-","217749","00342100"
"Boise Bible College","8695 W Marigold St, Boise, Idaho 83714-1220","www.boisebible.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","Yes","197","197","53%","NA","Fall 2007","$19,286","-","142090","02234500"
"Boise State University","1910 University Dr, Boise, Idaho 83725","www.boisestate.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","22344","19477","38%","24%","Fall 2007","$14,430","-","142115","00161600"
"Bon Secours Memorial College of Nursing","8550 Magellan Parkway Suite 1100, Richmond, Virginia 23227-1149","www.bsmcon.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","No","290","290","NA","NA","Fall 2007","NA","-","233356","01004300"
"Boricua College","3755 Broadway, New York, New York 10032-1560","boricuacollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","1235","1176","58%","12%","Fall 2007","$17,226","-","189413","01302900"
"Boston Architectural College","320 Newbury Street, Boston, Massachusetts 02115-2703","www.the-bac.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree","City: Large","No","941","487","7%","NA","Fall 2007","$32,621","-","164872","00396600"
"Boston Baptist College","950 Metropolitan Ave, Boston, Massachusetts 02136-4030","Boston.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","Yes","89","89","32%","14%","Fall 2007","$20,221","-","164614","03248300"
"Boston College","140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467","www.bc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","14605","9837","91%","7%","Fall 2007","$25,564","-","164924","00212800"
"Boston University","One Silber Way, Boston, Massachusetts 02215","www.bu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","32603","18306","84%","NA","Fall 2007","$31,798","-","164988","00213000"
"Bowdoin College","255 Maine Street, Brunswick, Maine 04011","www.bowdoin.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","1839","1839","93%","NA","Fall 2007","$22,193","-","161004","00203800"
"Bowie State University","14000 Jericho Park Rd, Bowie, Maryland 20715-9465","www.bowiestate.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","5421","4283","35%","23%","Fall 2007","$11,009","-","162007","00206200"
"Bowling Green State University-Main Campus","220 McFall Ctr, Bowling Green, Ohio 43403","www.bgsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Town: Fringe","Yes","17286","14815","54%","32%","Fall 2007","$17,409","-","201441","00301800"
"Bradley University","1501 W Bradley Ave, Peoria, Illinois 61625-0001","www.bradley.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","5458","4879","76%","NA","Fall 2007","$25,683","-","143358","00164100"
"Brandeis University","415 South St, Waltham, Massachusetts 02454-9110","www.brandeis.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","5808","3588","90%","NA","Fall 2007","$26,952","-","165015","00213300"
"Brandman University","16355 Laguna Canyon Road, Irvine, California 92618","www.brandman.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","No","6785","3523","NA","NA","Fall 2007","NA","-","262086","04161800"
"Brazosport College","500 College Dr, Lake Jackson, Texas 77566-3199","www.brazosport.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Small","No","4047","4047","15%","32%","Fall 2007","$4,874","-","223506","00728700"
"Brenau University","500 Washington Street SE, Gainesville, Georgia 30501-3668","www.brenau.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","2777","1723","46%","38%","Fall 2007","$15,392","-","139199","00155600"
"Brescia University","717 Frederica St, Owensboro, Kentucky 42301-3023","www.brescia.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","872","851","30%","NA","Fall 2007","$12,399","-","156356","00195800"
"Brevard College","One Brevard College Drive, Brevard, North Carolina 28712","www.brevard.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","633","633","43%","NA","Fall 2007","$19,655","-","198066","00291200"
"Brewton-Parker College","201 David-Eliza Fountain Circle, Mount Vernon, Georgia 30445","www.bpc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Rural: Distant","Yes","680","680","19%","52%","Fall 2007","$6,478","-","139205","00155700"
"Briar Cliff University","3303 Rebecca Street, Sioux City, Iowa 51104","www.briarcliff.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","1150","1030","45%","19%","Fall 2007","$19,307","-","152992","00184600"
"Briarcliffe College","1055 Stewart Ave, Bethpage, New York 11714-3545","www.briarcliffe.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","2021","2021","35%","NA","Fall 2007","$14,341","-","189459","02075700"
"Bridgewater College","402 E College St, Bridgewater, Virginia 22812-1599","www.bridgewater.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Small","Yes","1759","1759","60%","NA","Fall 2007","$19,211","-","231581","00370400"
"Bridgewater State University","131 Summer Street, Bridgewater, Massachusetts 02325","www.bridgew.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","Yes","11417","9684","58%","NA","Fall 2007","$14,504","-","165024","00218300"
"Brigham Young University-Hawaii","55-220 Kulanui Street, Laie, Hawaii 96762-1294","www.byuh.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Fringe","Yes","3166","3166","47%","NA","Fall 2007","$10,660","-","230047","00160600"
"Brigham Young University-Idaho","525 S Center, Rexburg, Idaho 83460-1690","www.byui.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","23261","23261","60%","21%","Fall 2007","$8,148","-","142522","00162500"
"Brigham Young University-Provo","Main Campus, Provo, Utah 84602","www.byu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","34409","31060","78%","NA","Fall 2007","$12,330","-","230038","00367000"
"Bristol University","2390 E. Orangewood Ave., Suite 485, Anaheim, California 92806-6198","www.bristoluniversity.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","No","37","32","94%","NA","Fall 2007","$21,551","Legal Assistant/Paralegal","397270","03308300"
"Broadview Entertainment Arts University","240 E Morris Ave, Salt Lake City, Utah 84115","www.broadviewuniversity.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","122","122","NA","NA","Fall 2007","$24,544","-","459091","01116603"
"Broadview University-Boise","2750 East Gala Court, Meridian, Idaho 83642-0000","broadviewuniversity.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","147","147","NA","NA","Fall 2007","$21,008","-","467793","01116604"
"Broadview University-Layton","869 West Hill Field Road, Layton, Utah 84041","www.broadviewuniversity.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","229","229","29%","NA","Fall 2007","$20,048","-","450429","01116601"
"Broadview University-Orem","898 N 1200 W, Orem, Utah 84057","www.broadviewuniversity.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","167","167","NA","NA","Fall 2007","$22,471","-","454591","01116602"
"Broadview University-West Jordan","1902 W 7800 S, West Jordan, Utah 84088","www.broadviewuniversity.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","343","335","58%","NA","Fall 2007","$22,496","-","230056","01116600"
"Brookline College-Albuquerque","4201 Central Ave NW-Ste J, Albuquerque, New Mexico 87105","www.brooklinecollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","404","404","41%","NA","Fall 2007","$23,997","Medical/Clinical Assistant","444088","02218808"
"Brookline College-Phoenix","2445 W. Dunlap Ave., Ste. 100, Phoenix, Arizona 85021","www.brooklinecollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","No","1186","1186","47%","NA","Fall 2007","$25,401","Medical Insurance Coding Specialist/Coder","104090","02218800"
"Brookline College-Tucson","5441 E. 22nd St, Ste.125, Tucson, Arizona 85711","www.brooklinecollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","524","524","51%","NA","Fall 2007","$21,596","Medical/Clinical Assistant","438179","02218805"
"Brooks Institute","25/27 Mason Street, Santa Barbara, California 93101","www.brooks.edu","4-year, Private for-profit","Bachelor's degree|Master's degree","City: Small","No","693","661","37%","NA","Fall 2007","$26,833","-","110185","00112300"
"Broward College","111 East Las Olas Blvd, Fort Lauderdale, Florida 33301","www.broward.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","42309","42309","32%","16%","Fall 2007","$8,174","-","132709","00150000"
"Brown College-Brooklyn Center","5951 Earle Brown Dr, Brooklyn Center, Minnesota 55430","www.browncollege.edu/","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","185","185","49%","3%","Fall 2007","$15,353","-","475291","00735102"
"Brown College-Mendota Heights","1345 Mendota Heights Road, Mendota Heights, Minnesota 55120","www.browncollege.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","427","427","50%","NA","Fall 2007","$18,753","-","174394","00735100"
"Brown Mackie College-Akron","755 White Pond Dr., Suite 101, Akron, Ohio 44320","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","888","888","27%","NA","Fall 2007","$18,595","-","205647","04051308"
"Brown Mackie College-Albuquerque","10500 Cooper Ave NE, Albuquerque, New Mexico 87123","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","752","752","NA","NA","Fall 2007","$18,969","-","460039","04051330"
"Brown Mackie College-Birmingham","105 Vulcan Road, Suite 100, Birmingham, Alabama 35209-4701","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","821","821","NA","NA","Fall 2007","$19,334","-","470162","04051333"
"Brown Mackie College-Boise","9050 W Overland Rd, Ste 101, Boise, Idaho 83709","www.brownmackie.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","514","514","NA","NA","Fall 2007","$19,632","-","455600","04051323"
"Brown Mackie College-Cincinnati","1011 Glendale-Milford Rd, Cincinnati, Ohio 45215-1107","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","1320","1320","30%","3%","Fall 2007","$18,889","-","205610","04051307"
"Brown Mackie College-Dallas","2200 Hwy 121 Ste 270, Bedford, Texas 76021","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","","No","","","NA","NA","Fall 2007","$20,251","-","482954","04051342"
"Brown Mackie College-Findlay","1700 Fostoria Ave, Suite 100, Findlay, Ohio 45840","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Distant","No","570","570","30%","NA","Fall 2007","$18,949","-","375489","04051317"
"Brown Mackie College-Fort Wayne","3000 E.Coliseum Blvd., Suite 100, Fort Wayne, Indiana 46805","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1083","1083","37%","NA","Fall 2007","$18,726","-","408039","04051322"
"Brown Mackie College-Greenville","Two Liberty Square, 75 Beattie Place Ste 100, Greenville, South Carolina 29601","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","919","919","NA","NA","Fall 2007","$18,407","-","456791","04051328"
"Brown Mackie College-Indianapolis","1200 N Meridian St, Ste 100, Indianapolis, Indiana 46204","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1299","1299","NA","NA","Fall 2007","$19,609","-","451699","04051318"
"Brown Mackie College-Louisville","3605 Fern Valley Road, Louisville, Kentucky 40219","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1999","1999","27%","NA","Fall 2007","$18,985","-","157599","04051319"
"Brown Mackie College-Merrillville","1000 E 80th Place, Suite 2055, Merrillville, Indiana 46410","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","677","677","45%","1%","Fall 2007","$18,517","-","151616","04051311"
"Brown Mackie College-Miami","3700 Lakeside Drive, Miramar, Florida 33027-3264","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","1016","1016","35%","NA","Fall 2007","$20,413","-","447290","04051345"
"Brown Mackie College-Michigan City","325 E US Hwy 20, Michigan City, Indiana 46360-7362","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","389","389","31%","1%","Fall 2007","$19,022","-","151625","04051312"
"Brown Mackie College-North Canton","4300 Munson Street, NW, Canton, Ohio 44718","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","701","701","36%","NA","Fall 2007","$19,290","-","204316","04051326"
"Brown Mackie College-Northern Kentucky","309 Buttermilk Pike, Fort Mitchell, Kentucky 41017","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","644","644","30%","1%","Fall 2007","$17,880","-","157696","04051316"
"Brown Mackie College-Phoenix","13430 N Black Canyon Ste. 190, Phoenix, Arizona 85029","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","578","578","NA","NA","Fall 2007","$18,265","-","456612","04051327"
"Brown Mackie College-Quad Cities","2119 Kimberly Rd., Bettendorf, Iowa 52722","www.brownmackie.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","415","415","32%","NA","Fall 2010","$19,153","-","373085","04051313"
"Brown Mackie College-San Antonio","4715 Fredericksburg Rd Ste 520, San Antonio, Texas 78229","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","724","724","NA","NA","Fall 2007","$19,193","-","460613","04051332"
"Brown Mackie College-South Bend","3454 Douglas Rd., South Bend, Indiana 46635","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","652","652","39%","NA","Fall 2007","$19,188","-","151944","04051321"
"Brown Mackie College-St Louis","2 Soccer Park Rd, Fenton, Missouri 63026","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","601","601","NA","NA","Fall 2007","$17,755","-","460048","04051329"
"Brown Mackie College-Tucson","4585 E Speedway Blvd., Tucson, Arizona 85712","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","784","784","16%","54%","Fall 2007","$19,493","-","104364","04051325"
"Brown Mackie College-Tulsa","4608 S Garnett Rd Ste 110, Tulsa, Oklahoma 74146","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","587","587","NA","NA","Fall 2007","$18,824","-","455619","04051324"
"Brown University","One Prospect Street, Providence, Rhode Island 02912","www.brown.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","8885","6435","95%","NA","Fall 2007","$22,369","-","217156","00340100"
"Bryan College of Health Sciences","5035 Everett, Lincoln, Nebraska 68506-1299","www.bryanhealth.com/CollegeofHealthSciences","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","714","610","56%","33%","Fall 2007","$22,962","-","180878","00639900"
"Bryan College-Dayton","721 Bryan Drive, Dayton, Tennessee 37321-7000","www.bryan.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1689","1573","62%","NA","Fall 2007","$15,258","-","219790","00353600"
"Bryan University","4255 Nature Center Way, Springfield, Missouri 65804","www.bryanu.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","357","357","33%","NA","Fall 2007","$18,576","-","369516","03066300"
"Bryant & Stratton College-Akron","190 Montrose West Avenue, Copley, Ohio 44321-2798","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","154","154","NA","NA","Fall 2007","$17,868","-","475699","00267817"
"Bryant & Stratton College-Albany","1259 Central Ave, Albany, New York 12205","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","723","723","34%","3%","Fall 2007","$14,392","-","188517","00267807"
"Bryant & Stratton College-Amherst","3650 Millersport Highway, Getzville, New York 14068","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","436","436","35%","9%","Fall 2007","$13,623","-","189556","00267801"
"Bryant & Stratton College-Bayshore","500 Silverspring Rd Ste K340, Glendale, Wisconsin 53217","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","569","569","NA","NA","Fall 2007","$15,718","-","458502","00267815"
"Bryant & Stratton College-Buffalo","465 Main Street, Suite 400, Buffalo, New York 14203","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","884","884","11%","5%","Fall 2007","$14,830","-","189583","00267800"
"Bryant & Stratton College-Cleveland","3121 Euclid Avenue, Cleveland, Ohio 44115","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","739","739","7%","NA","Fall 2007","$16,438","-","202684","00267810"
"Bryant & Stratton College-Eastlake","35350 Curtis Blvd., Eastlake, Ohio 44095","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","730","730","16%","2%","Fall 2007","$15,983","-","369905","00267809"
"Bryant & Stratton College-Greece","854 Long Pond Road, Rochester, New York 14612","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","423","423","29%","6%","Fall 2007","$13,865","-","189592","00267803"
"Bryant & Stratton College-Hampton","4410 East Claiborne Square, Suite 233, Hampton, Virginia 23666","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","567","567","NA","NA","Fall 2007","$15,616","-","459107","00267816"
"Bryant & Stratton College-Milwaukee","310 W. Wisconsin Avenue Suite 500, Milwaukee, Wisconsin 53203-2608","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","1073","1073","12%","NA","Fall 2007","$15,762","-","239929","00267813"
"Bryant & Stratton College-Online","180 Redtail Rd, Orchard Park, New York 14127","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","2017","2017","19%","NA","Fall 2007","$11,616","-","480091","00267802"
"Bryant & Stratton College-Parma","12955 Snow Rd, Parma, Ohio 44130-3151","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","729","729","17%","6%","Fall 2007","$16,037","-","201469","00267808"
"Bryant & Stratton College-Richmond","8141 Hull St Rd, North Chesterfield, Virginia 23235","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","942","942","16%","2%","Fall 2007","$15,863","-","231828","00267812"
"Bryant & Stratton College-Southtowns","Sterling Park - 200 Redtail Rd., Orchard Park, New York 14127","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","549","549","36%","2%","Fall 2007","$14,301","-","374972","00267802"
"Bryant & Stratton College-Syracuse North","8687 Carling Rd, Liverpool, New York 13090","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","482","482","33%","2%","Fall 2007","$12,708","-","189565","00267806"
"Bryant & Stratton College-Virginia Beach","301 Centre Pointe Dr, Virginia Beach, Virginia 23462","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","755","755","12%","2%","Fall 2007","$14,504","-","231785","00267811"
"Bryant & Stratton College-Wauwatosa","10950 W Potter Road, Wauwatosa, Wisconsin 53226","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","768","768","28%","NA","Fall 2007","$15,156","-","451750","00267814"
"Bryant University","1150 Douglas Pike, Smithfield, Rhode Island 02917-1291","www.bryant.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","3418","3180","82%","NA","Fall 2007","$32,486","-","217165","00340200"
"Bryn Athyn College of the New Church","801 Tomlinson Rd, Bryn Athyn, Pennsylvania 19009-0717","www.brynathyn.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","256","243","59%","29%","Fall 2007","$13,887","-","210492","00322800"
"Bryn Mawr College","101 N Merion Avenue, Bryn Mawr, Pennsylvania 19010","www.brynmawr.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1765","1313","84%","NA","Fall 2007","$30,042","-","211273","00323700"
"Bucknell University","One Dent Drive, Lewisburg, Pennsylvania 17837","www.bucknell.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","3618","3536","91%","NA","Fall 2007","$31,472","-","211291","00323800"
